Chart Type,Input Percent,Actual Percent,Error
Tree Map,80,84,2.044394
Pie Chart,70,64,2.61471
Bar Chart,100,100,0
Tree Map,90,95,2.357552
Bar Chart,40,33,2.83289
Tree Map,50,51,0.169925
Tree Map,90,83,2.83289
Tree Map,70,58,3.599913
Tree Map,50,65,3.918863
Tree Map,90,86,2.044394
Bar Chart,50,51,0.169925
Tree Map,50,46,2.044394
Bar Chart,70,61,3.189825
Tree Map,80,75,2.357552
Bar Chart,30,29,0.169925
Pie Chart,90,88,1.087463
Pie Chart,50,51,0.169925
Pie Chart,50,41,3.189825
Bar Chart,40,36,2.044394
Pie Chart,40,37,1.643856
Bar Chart,70,68,1.087463
Pie Chart,50,39,3.475733
Bar Chart,80,78,1.087463
Bar Chart,40,40,0
Pie Chart,50,57,2.83289
Bar Chart,30,37,2.83289
Pie Chart,60,66,2.61471
Pie Chart,100,100,0
Pie Chart,90,70,4.330917
Pie Chart,50,52,1.087463
Pie Chart,100,99,0.169925
Pie Chart,100,99,0.169925
Pie Chart,70,54,4.011227
Pie Chart,100,97,1.643856
Pie Chart,50,50,0
Bar Chart,30,24,2.61471
Bar Chart,90,85,2.357552
Pie Chart,70,62,3.022368
Bar Chart,50,60,3.33985
Pie Chart,80,75,2.357552
Tree Map,90,87,1.643856
Pie Chart,90,71,4.257388
Tree Map,70,62,3.022368
Tree Map,60,64,2.044394
Bar Chart,50,55,2.357552
Pie Chart,80,82,1.087463
Bar Chart,60,61,0.169925
Bar Chart,70,66,2.044394
Bar Chart,40,43,1.643856
Tree Map,50,48,1.087463
Bar Chart,20,23,1.643856
Bar Chart,50,54,2.044394
Pie Chart,100,100,0
Pie Chart,50,47,1.643856
Bar Chart,50,50,0
Bar Chart,50,55,2.357552
Tree Map,90,98,3.022368
Bar Chart,50,46,2.044394
Tree Map,50,41,3.189825
Tree Map,50,59,3.189825
Tree Map,100,97,1.643856
Pie Chart,80,62,4.179909
Bar Chart,80,79,0.169925
Pie Chart,40,42,1.087463
Tree Map,60,69,3.189825
Tree Map,90,91,0.169925
Pie Chart,50,50,0
Bar Chart,60,58,1.087463
Pie Chart,80,69,3.475733
Bar Chart,85,83,1.087463
Tree Map,50,55,2.357552
Pie Chart,40,35,2.357552
Tree Map,60,56,2.044394
Tree Map,70,70,0
Tree Map,30,30,0
Bar Chart,50,51,0.169925
Tree Map,70,81,3.475733
Tree Map,90,87,1.643856
Tree Map,25,32,2.83289
Bar Chart,80,75,2.357552
Pie Chart,100,99,0.169925
Pie Chart,70,54,4.011227
Bar Chart,50,51,0.169925
Bar Chart,40,38,1.087463
Bar Chart,70,71,0.169925
Tree Map,80,84,2.044394
Pie Chart,100,98,1.087463
Pie Chart,100,98,1.087463
Pie Chart,100,98,1.087463
Pie Chart,50,59,3.189825
Pie Chart,30,23,2.83289
Tree Map,30,27,1.643856
Tree Map,100,94,2.61471
Pie Chart,100,91,3.189825
Pie Chart,60,59,0.169925
Pie Chart,80,84,2.044394
Tree Map,60,58,1.087463
Pie Chart,60,68,3.022368
Pie Chart,80,95,3.918863
