Participant ID,Trial Number, Visualisation, TruePercent, ReportedPercentage
283-0ce63,3,bubbleChart,42,23
283-0ce63,2,verticalBarChart,20,14
283-0ce63,0,treemapChart,24,12
283-79c13,0,pieChart,97,78
283-79c13,3,donutChart,72,80
283-79c13,4,bubbleChart,73,78
283-79c13,1,verticalBarChart,79,81
283-79c13,2,treemapChart,96,97
283-eedaa,1,pieChart,45,22
283-eedaa,3,donutChart,62,59
283-eedaa,4,bubbleChart,54,61
283-eedaa,0,verticalBarChart,86,91
283-eedaa,2,treemapChart,33,15
283-223cf,4,pieChart,23,17
283-223cf,0,donutChart,93,100
283-223cf,1,bubbleChart,58,50
283-223cf,2,verticalBarChart,54,45
283-223cf,3,treemapChart,40,25
283-f24cc,2,pieChart,77,81
283-f24cc,0,donutChart,99,89
283-f24cc,3,bubbleChart,73,75
283-f24cc,4,verticalBarChart,42,33
283-f24cc,1,treemapChart,97,100
283-a5040,3,pieChart,38,47
283-a5040,4,donutChart,98,81
283-a5040,2,bubbleChart,72,60
283-a5040,0,verticalBarChart,88,81
283-a5040,1,treemapChart,40,25
283-a3ef4,3,pieChart,93,75
283-a3ef4,1,donutChart,64,50
283-a3ef4,0,bubbleChart,17,13
283-a3ef4,4,verticalBarChart,43,41
283-a3ef4,2,treemapChart,93,91
283-ab396,1,pieChart,66,45
283-ab396,4,donutChart,94,81
283-ab396,0,bubbleChart,16,11
283-ab396,3,verticalBarChart,39,30
283-ab396,2,treemapChart,74,61
283-f66fd,3,pieChart,65,71
283-f66fd,4,donutChart,56,55
283-f66fd,2,bubbleChart,42,33
283-f66fd,1,verticalBarChart,26,18
283-f66fd,0,treemapChart,29,20
283-c317f,1,pieChart,44,50
283-c317f,3,donutChart,55,25
283-c317f,2,bubbleChart,34,31
283-c317f,4,verticalBarChart,55,55
283-c317f,0,treemapChart,71,61
283-da66a,0,pieChart,65,65
283-da66a,4,donutChart,45,42
283-da66a,1,bubbleChart,71,75
283-da66a,2,verticalBarChart,70,70
283-da66a,3,treemapChart,80,80
283-7a4be,2,pieChart,92,95
283-7a4be,1,donutChart,60,55
283-7a4be,4,bubbleChart,43,25
283-7a4be,3,verticalBarChart,37,40
283-7a4be,0,treemapChart,80,80
283-7e9e3,2,pieChart,93,75
283-7e9e3,4,donutChart,88,80
283-7e9e3,3,bubbleChart,44,30
283-7e9e3,0,verticalBarChart,19,13
283-7e9e3,1,treemapChart,78,60
283-df755,0,pieChart,19,15
283-df755,1,donutChart,29,20
283-df755,2,bubbleChart,86,100
283-df755,3,verticalBarChart,20,15
283-df755,4,treemapChart,83,80
283-92ff7,0,pieChart,14,10
283-92ff7,2,donutChart,63,56
283-92ff7,4,bubbleChart,69,50
283-92ff7,3,verticalBarChart,39,40
283-92ff7,1,treemapChart,69,41
283-c6e86,3,pieChart,56,50
283-c6e86,1,donutChart,97,80
283-c6e86,0,bubbleChart,94,80
283-c6e86,4,verticalBarChart,41,45
283-c6e86,2,treemapChart,25,25
283-02ca5,4,pieChart,47,50
283-02ca5,2,donutChart,44,30
283-02ca5,1,bubbleChart,43,31
283-02ca5,3,verticalBarChart,73,75
283-02ca5,0,treemapChart,77,85
283-29816,4,pieChart,89,60
283-29816,2,donutChart,68,60
283-29816,1,bubbleChart,45,25
283-29816,0,verticalBarChart,15,15
283-29816,3,treemapChart,37,30
283-cdcd5,0,pieChart,33,25
283-cdcd5,4,donutChart,55,50
283-cdcd5,2,bubbleChart,29,25
283-cdcd5,1,verticalBarChart,65,60
283-cdcd5,3,treemapChart,97,80
283-d7c14,1,pieChart,73,50
283-d7c14,4,donutChart,40,30
283-d7c14,0,bubbleChart,28,25
283-d7c14,3,verticalBarChart,27,20
283-d7c14,2,treemapChart,36,25
283-4e6da,4,pieChart,68,60
283-4e6da,1,donutChart,24,20
283-4e6da,2,bubbleChart,27,25
283-4e6da,3,verticalBarChart,98,95
283-4e6da,0,treemapChart,89,100
283-7b0f4,2,pieChart,57,45
283-7b0f4,0,donutChart,53,50
283-7b0f4,4,bubbleChart,16,10
283-7b0f4,3,verticalBarChart,15,10
283-7b0f4,1,treemapChart,100,100
283-2e9a1,0,pieChart,76,75
283-2e9a1,2,donutChart,28,20
283-2e9a1,4,bubbleChart,85,80
283-2e9a1,3,verticalBarChart,48,45
283-2e9a1,1,treemapChart,52,30
283-bfdab,2,pieChart,50,25
283-bfdab,0,donutChart,65,50
283-bfdab,3,bubbleChart,24,20
283-bfdab,4,verticalBarChart,29,20
283-bfdab,1,treemapChart,37,30
283-8971d,1,pieChart,65,75
283-8971d,2,donutChart,57,50
283-8971d,0,bubbleChart,67,81
