Id,Date,Type,TrueValue,GuessValue,Error,Point1,Point2,"NOTE: If guess is 50 and error is 0, the record should be used only as the starting time for the set"
ekytc,2/14/2024 6:53:29,Bar,51.38888889,49,1.33,37,72,
ekytc,2/14/2024 6:53:45,Radar,32.25806452,30,1.25,30,93,
ekytc,2/14/2024 6:54:02,Pie,60,61,0.17,12,20,
ekytc,2/14/2024 6:54:14,Radar,62.68656716,64,0.52,42,67,
ekytc,2/14/2024 6:54:28,Bar,42.69662921,42,-0.28,38,89,
ekytc,2/14/2024 6:54:41,Bar,28.57142857,31,1.35,10,35,
ekytc,2/14/2024 6:54:52,Pie,41.17647059,31,3.36,21,51,
ekytc,2/14/2024 6:55:03,Pie,80,84,2.04,4,5,
ekytc,2/14/2024 6:55:22,Radar,33.33333333,32,0.54,22,66,
ekytc,2/14/2024 6:55:42,Pie,14.81481481,14,-0.09,12,81,
ekytc,2/14/2024 6:55:53,Pie,28.81355932,24,2.3,17,59,
ekytc,2/14/2024 6:56:07,Radar,35.13513514,28,2.86,13,37,
ekytc,2/14/2024 6:56:20,Radar,61.05263158,54,2.84,58,95,
ekytc,2/14/2024 6:56:34,Radar,8.602150538,8,-0.46,8,93,
ekytc,2/14/2024 6:57:01,Bar,75,76,0.17,48,64,
ekytc,2/14/2024 6:57:15,Pie,49.05660377,44,2.37,26,53,
ekytc,2/14/2024 6:57:31,Bar,58.06451613,58,-2.4,54,93,
ekytc,2/14/2024 6:57:42,Bar,91.30434783,91,-1.22,84,92,
ekytc,2/14/2024 6:57:57,Pie,24.56140351,22,1.43,14,57,
ekytc,2/14/2024 6:58:15,Pie,53.84615385,37,4.09,21,39,
ekytc,2/14/2024 6:58:41,Pie,16.43835616,15,0.64,12,73,
ekytc,2/14/2024 6:58:57,Pie,19.14893617,13,2.65,9,47,
ekytc,2/14/2024 6:59:17,Radar,76.59574468,70,2.75,36,47,
ekytc,2/14/2024 6:59:29,Bar,26.86567164,24,1.58,18,67,
ekytc,2/14/2024 6:59:43,Pie,56.89655172,62,2.39,33,58,
ekytc,2/14/2024 6:59:58,Radar,5.263157895,3,1.26,1,19,
ekytc,2/14/2024 7:00:15,Bar,9.333333333,8,0.54,7,75,
