graphtype,guess,actual,percenterror,log2error
bar,10.5,13.1,19.97232824,4.319930617
bar,13,17.2,24.54360465,4.617275244
bar,3,1.8,66.79166667,6.061596209
bar,4,2.4,66.79166667,6.061596209
bar,8,4.7,70.33776596,6.136227608
bar,2.5,1.3,92.43269231,6.5303313
bar,14,13.2,6.185606061,2.628914956
bar,11,9.8,12.36989796,3.628761694
bar,11.5,13.5,14.93981481,3.90109036
bar,6,5.2,15.50961538,3.955091005
scatter,1.5,1.7,11.88970588,3.571641122
scatter,25,24.1,3.859439834,1.948391467
scatter,4,3.1,29.15725806,4.865783151
scatter,17,16.6,2.534638554,1.34178003
scatter,11,8.3,32.65512048,5.029237326
scatter,5.5,3.7,48.77364865,5.608029996
scatter,8,4.9,63.39030612,5.98619033
scatter,7,5.9,18.7690678,4.230285092
scatter,24,23.4,2.689102564,1.427124782
scatter,2.5,2,25.125,4.651051691
scatter,3,2.4,25.125,4.651051691
scatter,4.5,2.7,66.79166667,6.061596209
scatter,10,7.3,37.11130137,5.213786687
scatter,11,9.7,13.52706186,3.757776608
scatter,30,28,7.267857143,2.861530062
scatter,3,3,0.125,0
scatter,9,6.5,38.58653846,5.270025723
scatter,3.5,1.6,118.875,6.893301531
scatter,20,17.5,14.41071429,3.849069941
scatter,12.5,2.9,331.1594828,8.37138236
scatter,8,5.1,56.9877451,5.832579804
scatter,5,6.4,22,4.459431619
scatter,4,4.3,7.101744186,2.828173394
scatter,4,6,33.45833333,5.064293677
scatter,3,4.4,31.94318182,4.99743612
scatter,10,12.9,22.60562016,4.498609592
scatter,25,23.4,6.962606838,2.79962756
scatter,2,2,0.125,0
scatter,11,11.8,6.904661017,2.787570587
scatter,10,11.5,13.16847826,3.719016733
scatter,5,5.7,12.40570175,3.632931441
scatter,1,1,0.125,0
scatter,1,2,50.125,5.647458426
scatter,10,9.4,6.507978723,2.702209534
scatter,3,2.7,11.23611111,3.490070891
scatter,3,5,40.125,5.326429487
scatter,9,10.7,16.01285047,4.001158242
scatter,10,10.8,7.532407407,2.913111034
scatter,1,0.7,42.98214286,5.425665504
scatter,10,10.2,2.085784314,1.06058998
scatter,10,5.6,78.69642857,6.298226259
scatter,6,3.8,58.01973684,5.858471847
scatter,6,7,14.41071429,3.849069941
scatter,8,6.1,31.27254098,4.966824542
scatter,8,8.5,6.007352941,2.586729427
scatter,25,27.1,7.874077491,2.97711091
scatter,1.4,1.3,7.817307692,2.966671824
scatter,12,7.6,58.01973684,5.858471847
scatter,25,24.9,0.5266064257,-0.9252029695
scatter,20,13.3,50.50093985,5.658238332
scatter,10,9.4,6.507978723,2.702209534
scatter,11,7,57.26785714,5.839653716
scatter,16,15.6,2.689102564,1.427124782
scatter,15,13.4,12.06529851,3.592791705
scatter,6,3.7,62.28716216,5.960862939
scatter,2,1.2,66.79166667,6.061596209
scatter,8,6.1,31.27254098,4.966824542
scatter,2,0.8,150.125,7.230020436
scatter,1,1.3,23.20192308,4.536172482
scatter,3,2.1,42.98214286,5.425665504
scatter,6,5.6,7.267857143,2.861530062
scatter,1.5,1.8,16.79166667,4.069673528
scatter,12,12.6,4.886904762,2.288920989
scatter,5,5.6,10.83928571,3.438197784
scatter,3,2.6,15.50961538,3.955091005
scatter,1,0.7,42.98214286,5.425665504
scatter,8,3.8,110.6513158,6.789876797
scatter,2,1.3,53.97115385,5.754116626
scatter,8,9.6,16.79166667,4.069673528
scatter,20,15.7,27.51353503,4.782069609
scatter,17,21.2,19.93632075,4.31732728
scatter,10,6.9,45.05253623,5.49353642
scatter,7,7.4,5.530405405,2.467385241
scatter,5,3.2,56.375,5.816983623
scatter,13,10.8,20.49537037,4.357226156
scatter,8,3.9,105.2532051,6.717720356
scatter,1,1.2,16.79166667,4.069673528
scatter,3,2.7,11.23611111,3.490070891
scatter,15,17.5,14.41071429,3.849069941
scatter,2,2,0.125,0
scatter,6,9.6,37.625,5.233619677
scatter,9,5.6,60.83928571,5.92693131
scatter,2,1.1,81.94318182,6.356552008
scatter,4,4.7,15.01861702,3.908680064
scatter,30,21.4,40.31191589,5.333134446
scatter,2,2.6,23.20192308,4.536172482
scatter,18,20.1,10.57276119,3.402280297
scatter,7,9.7,27.96005155,4.805295115
scatter,23,13.8,66.79166667,6.061596209
scatter,20,15.8,26.70727848,4.739161065
scatter,3,2,50.125,5.647458426
scatter,27,22.3,21.20123318,4.406076277
scatter,12,11.4,5.388157895,2.429792128
scatter,22,13.7,60.70894161,5.923837116
scatter,25,26.1,4.339559387,2.117548567
scatter,2,2,0.125,0
scatter,8,6.5,23.20192308,4.536172482
scatter,13,12.2,6.682377049,2.740361388
scatter,11,12.7,13.51082677,3.756044055
scatter,1,1.1,9.215909091,3.204126486
scatter,4,4.8,16.79166667,4.069673528
scatter,2,3,33.45833333,5.064293677
scatter,13,12.5,4.125,2.044394119
scatter,3,4.4,31.94318182,4.99743612
scatter,3,3.3,9.215909091,3.204126486
scatter,12,13.6,11.88970588,3.571641122
scatter,4,4.3,7.101744186,2.828173394
scatter,6,5.9,1.819915254,0.8638712718
scatter,2,2.1,4.886904762,2.288920989
scatter,13,13.7,5.234489051,2.38804872
scatter,5,5.8,13.91810345,3.79889073
scatter,22,21,4.886904762,2.288920989
scatter,7,6.9,1.574275362,0.65468791
