TrialNumber,TruePercentage,YourAnswer,Error
1,66.35,80,3.78
2,71.67,70,0.84
3,56.72,70,3.75
4,30.16,30,0
5,17.65,10,2.96
6,38.6,30,3.12
7,50.62,30,4.37
8,38.98,35,2.04
9,44.68,45,0
10,33.71,20,3.79
11,87.36,100,3.67
12,38.24,70,5
13,97.22,100,1.54
14,68.52,90,4.43
15,44.68,50,2.44
16,36.84,50,3.73
17,32.94,25,3.01
18,90.2,95,2.3
19,93.88,100,2.64
20,72.55,90,4.14
