TrialNumber,TruePercentage,YourAnswer,Error
1,90.91,100,3.2
2,70,92,4.47
3,100,100,0
4,14.42,14.29,0
5,16.67,12.5,2.1
6,17.65,20,1.31
7,83.05,94,3.47
8,30.95,39,3.03
9,11.58,8.69,1.59
10,87,96,3.19
11,35.64,42,2.7
12,47.73,48,0
13,65.69,87,4.42
14,39.13,48,3.17
15,36.51,48,3.54
16,53.85,69,3.93
17,16.28,19,1.51
18,50,53,1.64
19,84.44,100,3.97
20,19.64,25,2.45
