TrialNumber,TruePercentage,YourAnswer,Error
1,66.67,80,3.75
2,37.5,35,1.39
3,63.46,85,4.44
4,70.91,89,4.19
5,51.67,47,2.26
6,85.87,100,3.83
7,22.58,29,2.71
8,44.26,46,0.9
9,92.5,89,1.86
10,82.47,89,2.73
11,14.29,16,0.88
12,51.96,77,4.65
13,41.41,47,2.51
14,100,100,0
15,100,65,5.13
16,41.86,65,4.54
17,16.33,12.5,1.98
18,15.38,20,2.25
19,67.06,85,4.18
20,35.48,27,3.11
