TrialNumber,TruePercentage,YourAnswer,Error
1,63.81,68,2.11
2,70.22,80,3.31
3,72.1,77,2.33
4,78.4,89,3.42
5,65.19,62,1.73
6,27.37,33,2.52
7,84.31,92,2.97
8,56.48,50,2.72
9,96.12,100,2
10,57.31,49,3.08
11,31.8,33,0.41
12,11.07,11,0
13,73.22,70,1.74
14,69.77,76,2.67
15,66.7,81,3.85
16,49.66,50,0
17,69.23,94,4.64
18,48.34,49,0
19,18.99,26,2.83
20,81.55,99,4.14
