TrialNumber,TruePercentage,YourAnswer,Error
1,69.31,70,0
2,73.81,74,0
3,27.7,28,0
4,20.34,10,3.39
5,27.76,40,3.63
6,26.95,27,0
7,65.82,80,3.84
8,49.02,45,2.05
9,24.26,10,3.85
10,46.26,40,2.68
11,91.14,93,0.99
12,33.63,24,3.29
13,90.17,95,2.31
14,13.54,9,2.22
15,39.87,33,2.81
16,50.05,50,0
17,18.61,10,3.13
18,35.71,40,2.14
19,87.96,90,1.11
20,23.49,20,1.86
