TrialNumber,TruePercentage,YourAnswer,Error
1,94.34,97,1.48
2,9.9,8.33,0.76
3,78.39,89,3.42
4,53.54,60,2.72
5,67.76,65,1.53
6,30.01,28,1.09
7,83.61,84,0
8,72.76,86,3.74
9,82.1,91,3.17
10,5.8,5,0
11,84.11,100,4
12,6.81,12.5,2.54
13,52.06,39,3.72
14,62.56,49,3.77
15,88.02,79,3.19
16,49.04,52,1.62
17,44.4,35,3.25
18,9.71,10,0
19,8.13,16.67,3.11
20,54.13,69,3.91
