TrialNumber,TruePercentage,YourAnswer,Error
2,98.92,100,0.27
3,39.8,50,3.37
4,90.92,98,2.85
5,19.69,21,0.52
6,94.37,100,2.52
7,68.98,80,3.48
8,84.57,95,3.4
9,61.93,75,3.72
10,90.92,92,0.27
11,26.77,22,2.29
12,28.18,30,0.96
13,56.36,32,4.61
14,9.59,15,2.47
15,18.31,24,2.54
16,3.48,5,0.72
17,33.94,27,2.82
18,90.8,88,1.55
19,69.96,88,4.18
20,76.01,100,4.59
