TrialNumber,TruePercentage,YourAnswer,Error
1,32.01,30,1.09
2,17.17,15,1.2
3,17.84,10,2.99
4,25.61,20,2.52
5,7.96,5,1.62
6,92.61,100,2.91
7,93.85,80,3.81
8,26.51,25,0.71
9,7.53,5,1.41
10,91.38,85,2.7
11,29.06,40,3.47
12,56.11,50,2.64
13,63.84,35,4.86
14,70.03,95,4.65
15,44.03,30,3.82
16,75.6,40,5.16
17,20.9,20,0.03
18,12.39,10,1.33
19,98.85,100,0.35
20,35.16,30,2.4
