TrialNumber,TruePercentage,YourAnswer,Error
1,23.68,20,1.93
2,25,23,1.09
3,65.56,80,3.86
4,68.18,70,0.96
5,50.91,40,3.46
6,14.44,11,1.84
7,18.39,11,2.91
8,38.46,33,2.48
9,45.45,27,4.22
10,72.55,69,1.88
11,58.14,60,0.99
12,25,20,2.36
13,41.18,39,1.2
14,97.62,90,2.95
15,35.29,25,3.38
16,47.47,37,3.41
17,7.14,7,0
18,74.55,55,4.3
19,12.68,12,0
20,62.16,52,3.36
