TrialNumber,TruePercentage,YourAnswer,Error
1,27.03,14,3.72
2,78.39,67,3.53
4,14.86,23,3.05
5,74.49,87,3.66
6,83.33,98,3.89
7,53.97,57,1.66
8,69.25,79,3.3
9,38.74,46,2.88
10,76.25,83,2.78
11,27.09,23,2.07
12,19.47,23,1.87
13,21.23,16,2.42
14,66.48,54,3.66
15,51.81,57,2.41
16,5.09,12,2.81
17,51.41,78,4.74
18,75.78,82,2.67
19,53.44,52,0.65
20,94.02,99,2.35
