TrialNumber,TruePercentage,YourAnswer,Error
2,29.77,25,2.29
3,53.09,47,2.64
4,83.56,92,3.1
5,67.17,83,4
6,65.8,60,2.57
7,44.89,40,2.33
8,39.63,33,2.76
9,74.98,84,3.19
10,26.2,23,1.73
11,65.01,50,3.92
13,26.76,19,2.98
14,45.79,33,3.69
15,70.52,62,3.11
16,50.74,56,2.43
18,90.6,85,2.52
19,33.78,26,2.98
20,17.79,14,1.97
