TrialNumber,TruePercentage,YourAnswer,Error
1,22,34,3.6
2,76.71,87,3.38
3,98.75,87,3.57
4,28.21,20,3.06
5,18.63,15,1.91
6,44.44,36,3.1
7,8.79,10,0.42
8,6.06,6,0
9,80.77,90,3.23
10,68.6,80,3.53
11,53.85,75,4.41
12,47.42,53,2.51
13,32.31,24,3.08
14,46.88,60,3.73
15,76.74,84,2.88
16,28.41,25,1.82
17,39.51,24,3.97
18,40.2,19,4.41
19,100,85,3.92
20,41.67,33,3.14
