TrialNumber,TruePercentage,YourAnswer,Error
1,93.1,98,2.33
2,27.78,33,2.42
3,25.32,28,1.49
4,95.31,100,2.27
5,38.82,42,1.72
6,79.49,79,0
7,37.5,40,1.39
8,63.38,69,2.52
9,85.71,89,1.77
10,16,13,1.64
11,13.68,19,2.44
12,30.43,46,3.97
13,46.51,49,1.39
14,16.05,24,3.01
15,48.65,34,3.88
16,63.64,90,4.73
17,96.67,99,1.3
18,16.67,16.67,0
19,19.18,36,4.08
20,7.61,10,1.33
