TrialNumber,TruePercentage,YourAnswer,Error
1,42.59,75,5.02
2,71.29,89,4.16
3,90.59,100,3.25
4,19.23,27,2.98
5,23.4,34,3.42
6,46.67,51,2.16
7,64.29,52,3.63
8,55.81,50,2.57
9,77.63,94,4.04
10,62.92,83,4.34
11,56.67,65,3.08
12,55.84,91,5.14
13,67.74,82,3.85
14,62.11,82,4.32
15,37.33,25,3.64
16,87.5,96,3.11
17,60.67,67,2.69
18,58,35,4.53
19,95.71,100,2.14
20,57.84,84,4.72
