TrialNumber,TruePercentage,YourAnswer,Error
1,50.5,70,4.29
2,92.45,80,3.65
3,45.98,60,3.82
4,96.39,100,1.9
5,98.25,100,0.91
6,53.76,40,3.8
7,88.64,100,3.52
8,11.11,10,0.31
9,86.27,90,1.95
10,78.87,80,0.32
11,79.01,90,3.47
12,45.36,40,2.46
13,88.89,85,2.01
14,60.64,70,3.25
15,62.96,75,3.6
16,14.29,15,0
17,17.02,20,1.63
18,92.86,80,3.7
19,45.83,60,3.84
20,20.9,30,3.21
