TrialNumber,TruePercentage,YourAnswer,Error
1,66.67,92,4.67
2,19.61,34,3.86
3,50,68,4.18
4,98.33,92,2.69
5,67.69,83,3.95
6,97.73,96,0.89
7,89.19,94,2.3
8,20.69,24,1.78
9,98.02,99,0.14
10,70.37,81,3.43
11,31.58,18,3.78
12,57.29,62,2.27
13,66.67,84,4.13
14,90.7,93,1.28
15,5.88,8,1.17
16,50,56,2.61
17,20.59,26,2.47
18,26.03,33,2.83
19,57.58,79,4.43
20,36.49,68,4.98
