TrialNumber,TruePercentage,YourAnswer,Error
1,98.84,95,1.99
2,75,75,0
3,35.56,25,3.42
4,17.14,16,0.34
5,67.35,80,3.68
6,65.17,75,3.32
7,92.86,90,1.58
8,82.61,90,2.91
9,71.19,75,1.98
10,83.12,86,1.59
11,81.43,86,2.23
12,60.49,80,4.3
13,48.78,33,3.99
14,71.28,83,3.57
15,69.44,60,3.26
16,35.85,26,3.32
17,25,20,2.36
18,40.86,38,1.58
19,76.92,80,1.68
20,40.79,24,4.08
