TrialNumber,TruePercentage,YourAnswer,Error
1,36.72,20,4.07
2,91.78,80,3.57
3,18.36,20,0.82
4,89.86,100,3.36
5,66.3,70,1.93
6,71.9,60,3.59
7,42.11,40,1.16
8,81.6,100,4.21
9,34.7,35,0
10,64.78,80,3.94
11,18.42,10,3.09
12,44.98,40,2.35
13,42.54,33,3.27
14,10.14,8,1.18
15,36.42,30,2.71
16,62.54,80,4.14
17,52.95,50,1.62
18,24.2,30,2.57
19,57.59,40,4.15
20,66.05,60,2.63
