trialNum,Vis Type,Reported Percent,True Percent
1,Donut Chart,33,38
2,Bar Chart,30,34
3,Pie Chart,5,6
4,Stack Chart,5,5
5,Bar Chart,40,46
6,Donut Chart,10,16
7,Stack Chart,66,73
8,Pie Chart,50,48
9,Stack Chart,20,20
10,Bar Chart,20,32
11,Pie Chart,100,84
12,Pie Chart,5,8
13,Pie Chart,90,88
14,Bar Chart,20,23
15,Stack Chart,5,6
16,Stack Chart,60,61
17,Bar Chart,8,9
18,Donut Chart,66,69
19,Donut Chart,90,75
20,Stack Chart,85,95
21,Donut Chart,90,89
22,Donut Chart,66,66
23,Donut Chart,5,11
24,Bar Chart,40,52
25,Donut Chart,80,81
26,Stack Chart,50,64
27,Pie Chart,55,68
28,Pie Chart,50,52
29,Donut Chart,40,51
30,Stack Chart,2,2
31,Pie Chart,55,48
32,Bar Chart,25,40
33,Pie Chart,8,13
34,Donut Chart,15,22
35,Donut Chart,66,73
36,Pie Chart,75,63
37,Stack Chart,15,14
38,Pie Chart,5,6
39,Stack Chart,55,43
40,Pie Chart,40,75
41,Stack Chart,25,27
42,Bar Chart,30,28
43,Stack Chart,60,74
44,Pie Chart,50,56
45,Bar Chart,50,48
46,Stack Chart,100,96
47,Pie Chart,20,24
48,Pie Chart,66,60
49,Pie Chart,66,76
50,Pie Chart,2,2
51,Donut Chart,50,61
52,Bar Chart,72,73
53,Donut Chart,75,73
54,Donut Chart,10,12
55,Pie Chart,30,28
56,Bar Chart,46,44
57,Pie Chart,10,9
58,Pie Chart,66,58
59,Bar Chart,50,28
60,Bar Chart,90,92
61,Stack Chart,20,23
62,Bar Chart,6,1
63,Stack Chart,90,97
64,Bar Chart,25,21
65,Stack Chart,15,16
66,Bar Chart,20,17
67,Stack Chart,45,45
68,Stack Chart,50,44
69,Donut Chart,20,21
70,Stack Chart,33,35
71,Bar Chart,33,35
72,Stack Chart,20,20
73,Donut Chart,25,34
74,Donut Chart,95,92
75,Bar Chart,15,16
76,Donut Chart,40,45
77,Donut Chart,5,5
78,Bar Chart,80,82
79,Donut Chart,20,35
80,Bar Chart,15,16
