trialNum,Vis Type,Reported Percent,True Percent
1,Bar Chart,80,77
2,Donut Chart,90,96
3,Donut Chart,5,2
4,Pie Chart,50,52
5,Pie Chart,33,57
6,Stack Chart,25,36
7,Pie Chart,20,20
8,Stack Chart,66,84
9,Pie Chart,33,42
10,Donut Chart,10,11
11,Donut Chart,50,66
12,Donut Chart,66,79
13,Pie Chart,33,40
14,Stack Chart,33,46
15,Bar Chart,40,42
16,Donut Chart,95,87
17,Donut Chart,70,70
18,Bar Chart,66,62
19,Donut Chart,80,86
20,Donut Chart,33,40
21,Bar Chart,20,25
22,Pie Chart,15,19
23,Stack Chart,50,65
24,Donut Chart,10,11
25,Pie Chart,95,94
26,Stack Chart,60,71
27,Bar Chart,50,53
28,Pie Chart,66,79
29,Stack Chart,40,62
30,Donut Chart,80,73
31,Bar Chart,45,50
32,Donut Chart,50,64
33,Donut Chart,15,17
34,Stack Chart,50,63
35,Bar Chart,80,80
36,Bar Chart,60,62
37,Bar Chart,99,98
38,Donut Chart,66,75
39,Donut Chart,33,43
40,Pie Chart,40,40
41,Pie Chart,33,34
42,Donut Chart,5,3
43,Bar Chart,85,84
44,Bar Chart,25,31
45,Donut Chart,10,9
46,Bar Chart,95,95
47,Bar Chart,10,11
48,Bar Chart,40,46
49,Bar Chart,25,23
50,Pie Chart,40,44
51,Bar Chart,20,23
52,Bar Chart,90,92
53,Bar Chart,15,16
54,Stack Chart,60,70
55,Stack Chart,15,19
56,Stack Chart,25,41
57,Pie Chart,15,13
58,Pie Chart,50,47
59,Bar Chart,40,45
60,Donut Chart,33,36
61,Donut Chart,90,95
62,Stack Chart,66,74
63,Donut Chart,90,98
64,Bar Chart,85,85
65,Stack Chart,90,90
66,Stack Chart,20,20
67,Stack Chart,25,31
68,Stack Chart,15,24
69,Pie Chart,5,4
70,Stack Chart,80,93
71,Pie Chart,20,30
72,Pie Chart,45,41
73,Stack Chart,95,92
74,Pie Chart,10,8
75,Pie Chart,55,57
76,Stack Chart,50,44
77,Stack Chart,50,57
78,Pie Chart,60,63
79,Stack Chart,8,5
80,Pie Chart,5,5
