trialNum,Vis Type,Reported Percent,True Percent
1,Bar Chart,80,78
2,Stack Chart,90,93
3,Pie Chart,89,87
4,Stack Chart,80,89
5,Bar Chart,20,21
6,Stack Chart,17,18
7,Pie Chart,90,98
8,Bar Chart,70,60
9,Stack Chart,31,38
10,Stack Chart,33,33
11,Bar Chart,90,87
12,Pie Chart,20,18
13,Donut Chart,99,97
14,Bar Chart,90,78
15,Pie Chart,70,54
16,Donut Chart,89,62
17,Donut Chart,59,48
18,Stack Chart,33,40
19,Bar Chart,12,10
20,Donut Chart,80,83
21,Pie Chart,66,77
22,Bar Chart,98,87
23,Bar Chart,90,85
24,Pie Chart,20,20
25,Stack Chart,20,23
26,Pie Chart,90,63
27,Donut Chart,80,61
28,Pie Chart,10,6
29,Bar Chart,80,78
30,Pie Chart,20,23
31,Pie Chart,20,20
32,Bar Chart,45,47
33,Stack Chart,78,60
34,Stack Chart,78,68
35,Pie Chart,89,55
36,Bar Chart,8,6
37,Stack Chart,10,8
38,Pie Chart,33,36
39,Stack Chart,89,86
40,Stack Chart,33,43
41,Pie Chart,45,58
42,Bar Chart,50,52
43,Stack Chart,66,83
44,Pie Chart,90,93
45,Pie Chart,33,32
46,Pie Chart,99,81
47,Bar Chart,17,9
48,Bar Chart,89,82
49,Pie Chart,88,73
50,Bar Chart,20,14
51,Stack Chart,30,28
52,Stack Chart,25,36
53,Pie Chart,99,76
54,Pie Chart,15,15
55,Pie Chart,20,20
56,Bar Chart,77,61
57,Donut Chart,88,80
58,Stack Chart,42,64
59,Donut Chart,34,25
60,Stack Chart,10,6
61,Stack Chart,10,13
62,Bar Chart,98,87
63,Stack Chart,10,13
64,Donut Chart,94,98
65,Stack Chart,97,100
66,Donut Chart,24,31
67,Donut Chart,15,13
68,Bar Chart,88,83
69,Donut Chart,4,2
70,Bar Chart,70,67
71,Donut Chart,99,95
72,Bar Chart,70,64
73,Donut Chart,66,41
74,Donut Chart,77,64
75,Donut Chart,8,7
76,Donut Chart,86,74
77,Donut Chart,45,41
78,Donut Chart,18,14
79,Donut Chart,89,71
80,Donut Chart,24,25
