trialNum,Vis Type,Reported Percent,True Percent
1,Bar Chart,90,88
2,Stack Chart,20,15
3,Donut Chart,66,60
4,Pie Chart,90,73
5,Stack Chart,99,91
6,Stack Chart,25,41
7,Pie Chart,89,87
8,Donut Chart,66,70
9,Stack Chart,33,41
10,Donut Chart,66,56
11,Donut Chart,10,6
12,Bar Chart,55,52
13,Donut Chart,99,91
14,Pie Chart,89,77
15,Stack Chart,50,55
16,Stack Chart,45,47
17,Bar Chart,66,64
18,Stack Chart,10,1
19,Donut Chart,15,9
20,Donut Chart,91,64
21,Stack Chart,99,97
22,Pie Chart,99,96
23,Bar Chart,33,32
24,Donut Chart,66,60
25,Donut Chart,90,94
26,Bar Chart,15,14
27,Stack Chart,66,65
28,Bar Chart,75,79
29,Pie Chart,45,40
30,Stack Chart,55,63
31,Pie Chart,78,56
32,Pie Chart,43,40
33,Donut Chart,99,96
34,Pie Chart,10,8
35,Bar Chart,100,100
36,Stack Chart,15,10
37,Stack Chart,80,72
38,Bar Chart,59,60
39,Stack Chart,20,20
40,Stack Chart,30,42
41,Pie Chart,45,35
42,Stack Chart,6,6
43,Stack Chart,39,40
44,Bar Chart,33,36
45,Stack Chart,33,54
46,Stack Chart,5,2
47,Donut Chart,16,17
48,Bar Chart,5,1
49,Stack Chart,16,17
50,Donut Chart,28,31
51,Pie Chart,23,28
52,Donut Chart,67,76
53,Bar Chart,95,91
54,Pie Chart,33,34
55,Stack Chart,90,100
56,Donut Chart,55,59
57,Pie Chart,97,93
58,Donut Chart,98,91
59,Bar Chart,48,44
60,Pie Chart,92,69
61,Donut Chart,90,86
62,Bar Chart,20,18
63,Donut Chart,87,76
64,Donut Chart,55,58
65,Pie Chart,28,33
66,Pie Chart,20,17
67,Bar Chart,10,8
68,Donut Chart,80,80
69,Bar Chart,97,95
70,Donut Chart,81,64
71,Pie Chart,10,6
72,Bar Chart,89,85
73,Bar Chart,10,5
74,Pie Chart,45,38
75,Pie Chart,11,14
76,Bar Chart,4,1
77,Bar Chart,87,76
78,Bar Chart,5,4
79,Pie Chart,96,85
80,Pie Chart,90,82
