trialNum,Vis Type,Reported Percent,True Percent
1,Stack Chart,50,58
2,Bar Chart,65,59
3,Bar Chart,30,25
4,Pie Chart,50,57
5,Pie Chart,10,8
6,Pie Chart,90,70
7,Stack Chart,45,53
8,Pie Chart,50,45
9,Donut Chart,20,26
10,Donut Chart,80,81
11,Bar Chart,70,57
12,Pie Chart,50,44
13,Bar Chart,22,36
14,Bar Chart,95,92
15,Pie Chart,40,34
16,Pie Chart,100,87
17,Donut Chart,10,11
18,Stack Chart,50,67
19,Stack Chart,90,89
20,Donut Chart,15,26
21,Stack Chart,30,40
22,Donut Chart,70,64
23,Bar Chart,2,3
24,Stack Chart,100,92
25,Pie Chart,60,36
26,Pie Chart,50,50
27,Pie Chart,35,26
28,Bar Chart,84,86
29,Stack Chart,70,72
30,Donut Chart,40,51
31,Donut Chart,45,39
32,Pie Chart,10,7
33,Donut Chart,15,22
34,Donut Chart,35,36
35,Bar Chart,10,12
36,Bar Chart,90,94
37,Bar Chart,20,18
38,Stack Chart,100,93
39,Bar Chart,98,97
40,Bar Chart,30,23
41,Donut Chart,10,1
42,Bar Chart,70,81
43,Bar Chart,60,70
44,Pie Chart,97,91
45,Donut Chart,86,69
46,Donut Chart,30,46
47,Donut Chart,90,82
48,Pie Chart,98,97
49,Stack Chart,48,47
50,Stack Chart,12,14
51,Donut Chart,14,23
52,Donut Chart,45,47
53,Bar Chart,70,79
54,Stack Chart,50,65
55,Donut Chart,98,90
56,Pie Chart,13,13
57,Donut Chart,48,50
58,Bar Chart,75,72
59,Stack Chart,43,57
60,Donut Chart,35,33
61,Pie Chart,98,97
62,Pie Chart,90,80
63,Pie Chart,100,84
64,Bar Chart,10,12
65,Stack Chart,50,63
66,Pie Chart,98,91
67,Pie Chart,60,46
68,Stack Chart,5,9
69,Donut Chart,12,14
70,Pie Chart,98,79
71,Bar Chart,75,82
72,Donut Chart,30,38
73,Bar Chart,60,60
74,Bar Chart,88,92
75,Stack Chart,96,88
76,Stack Chart,88,91
77,Stack Chart,10,17
78,Stack Chart,99,85
79,Stack Chart,50,52
80,Stack Chart,7,7
