trialNum,Vis Type,Reported Percent,True Percent
1,Donut Chart,10,9
2,Donut Chart,90,66
3,Stack Chart,99,100
4,Stack Chart,80,57
5,Bar Chart,45,36
6,Pie Chart,40,29
7,Donut Chart,80,82
8,Bar Chart,70,67
9,Donut Chart,40,41
10,Bar Chart,9,4
11,Donut Chart,18,18
12,Stack Chart,20,20
13,Bar Chart,20,21
14,Stack Chart,30,38
15,Stack Chart,80,98
16,Donut Chart,20,31
17,Donut Chart,20,24
18,Pie Chart,45,51
19,Stack Chart,88,82
20,Bar Chart,85,81
21,Donut Chart,99,94
22,Pie Chart,66,52
23,Donut Chart,10,11
24,Donut Chart,3,1
25,Bar Chart,5,5
26,Donut Chart,90,78
27,Donut Chart,10,20
28,Bar Chart,40,43
29,Bar Chart,70,64
30,Stack Chart,20,13
31,Pie Chart,20,27
32,Stack Chart,80,72
33,Bar Chart,99,96
34,Pie Chart,80,81
35,Pie Chart,90,65
36,Stack Chart,50,63
37,Pie Chart,90,71
38,Pie Chart,30,21
39,Pie Chart,80,72
40,Stack Chart,90,92
41,Pie Chart,40,57
42,Donut Chart,90,74
43,Bar Chart,10,4
44,Stack Chart,90,61
45,Pie Chart,20,19
46,Bar Chart,80,73
47,Bar Chart,40,43
48,Stack Chart,30,46
49,Bar Chart,90,92
50,Donut Chart,55,54
51,Stack Chart,69,66
52,Bar Chart,10,8
53,Pie Chart,25,19
54,Donut Chart,20,23
55,Bar Chart,33,30
56,Donut Chart,50,50
57,Pie Chart,99,100
58,Bar Chart,60,57
59,Pie Chart,79,51
60,Stack Chart,29,41
61,Pie Chart,33,23
62,Pie Chart,80,89
63,Bar Chart,55,53
64,Stack Chart,80,90
65,Donut Chart,33,29
66,Bar Chart,99,98
67,Bar Chart,80,82
68,Pie Chart,10,13
69,Stack Chart,39,46
70,Stack Chart,23,29
71,Bar Chart,99,100
72,Stack Chart,80,75
73,Donut Chart,22,43
74,Pie Chart,89,76
75,Pie Chart,33,35
76,Stack Chart,45,61
77,Pie Chart,33,27
78,Donut Chart,10,6
79,Donut Chart,40,50
80,Stack Chart,10,5
