trialNum,Vis Type,Reported Percent,True Percent
1,Bar Chart,40,40
2,Stack Chart,20,21
3,Bar Chart,15,19
4,Donut Chart,17,15
5,Donut Chart,66,75
6,Stack Chart,90,88
7,Donut Chart,20,26
8,Stack Chart,60,55
9,Pie Chart,33,35
10,Stack Chart,22,20
11,Stack Chart,15,18
12,Pie Chart,90,91
13,Pie Chart,51,55
14,Bar Chart,45,42
15,Pie Chart,13,9
16,Bar Chart,5,3
17,Stack Chart,5,6
18,Pie Chart,80,79
19,Pie Chart,33,31
20,Bar Chart,100,100
21,Donut Chart,16,17
22,Stack Chart,33,34
23,Bar Chart,35,37
24,Bar Chart,80,81
25,Pie Chart,33,34
26,Donut Chart,50,53
27,Stack Chart,85,83
28,Bar Chart,5,5
29,Pie Chart,15,14
30,Stack Chart,60,61
31,Pie Chart,57,47
32,Stack Chart,33,41
33,Stack Chart,100,90
34,Donut Chart,50,61
35,Donut Chart,67,75
36,Bar Chart,60,62
37,Pie Chart,33,31
38,Stack Chart,100,94
39,Bar Chart,30,29
40,Stack Chart,25,33
41,Bar Chart,90,95
42,Donut Chart,85,86
43,Stack Chart,20,14
44,Stack Chart,5,5
45,Stack Chart,5,3
46,Donut Chart,75,81
47,Bar Chart,80,80
48,Stack Chart,50,42
49,Stack Chart,60,54
50,Stack Chart,90,95
51,Donut Chart,60,69
52,Bar Chart,50,43
53,Donut Chart,45,50
54,Pie Chart,30,23
55,Stack Chart,60,66
56,Pie Chart,12,12
57,Bar Chart,25,23
58,Donut Chart,2,1
59,Donut Chart,100,98
60,Bar Chart,20,24
61,Bar Chart,35,39
62,Bar Chart,33,34
63,Pie Chart,40,42
64,Donut Chart,25,21
65,Bar Chart,60,56
66,Bar Chart,80,81
67,Bar Chart,70,73
68,Donut Chart,34,32
69,Pie Chart,85,74
70,Donut Chart,25,27
71,Pie Chart,95,92
72,Donut Chart,55,61
73,Donut Chart,95,100
74,Donut Chart,62,63
75,Pie Chart,33,39
76,Pie Chart,70,66
77,Donut Chart,25,28
78,Pie Chart,99,95
79,Pie Chart,33,37
80,Pie Chart,80,80
