trialNum,Vis Type,Reported Percent,True Percent
1,Donut Chart,55,56
2,Donut Chart,5,1
3,Stack Chart,20,40
4,Pie Chart,1,2
5,Donut Chart,10,10
6,Stack Chart,40,53
7,Pie Chart,90,70
8,Donut Chart,80,84
9,Bar Chart,99,95
10,Stack Chart,33,34
11,Donut Chart,55,42
12,Donut Chart,89,89
13,Donut Chart,70,62
14,Donut Chart,15,9
15,Stack Chart,20,26
16,Donut Chart,40,42
17,Bar Chart,98,96
18,Bar Chart,20,21
19,Donut Chart,80,70
20,Bar Chart,1,1
21,Stack Chart,90,89
22,Pie Chart,90,83
23,Pie Chart,10,8
24,Pie Chart,18,10
25,Pie Chart,90,92
26,Pie Chart,20,23
27,Stack Chart,15,10
28,Stack Chart,60,83
29,Bar Chart,66,80
30,Donut Chart,70,75
31,Pie Chart,80,56
32,Stack Chart,18,18
33,Stack Chart,20,50
34,Pie Chart,16,11
35,Bar Chart,45,48
36,Pie Chart,99,90
37,Pie Chart,90,91
38,Pie Chart,10,10
39,Donut Chart,77,55
40,Pie Chart,20,25
41,Donut Chart,39,41
42,Bar Chart,80,85
43,Donut Chart,8,2
44,Stack Chart,20,16
45,Pie Chart,80,58
46,Stack Chart,20,16
47,Donut Chart,78,69
48,Stack Chart,70,66
49,Pie Chart,61,50
50,Pie Chart,80,63
51,Donut Chart,60,65
52,Pie Chart,20,23
53,Stack Chart,80,70
54,Bar Chart,30,30
55,Pie Chart,45,43
56,Bar Chart,50,50
57,Donut Chart,90,93
58,Bar Chart,10,7
59,Bar Chart,50,59
60,Pie Chart,80,83
61,Bar Chart,20,19
62,Donut Chart,30,69
63,Pie Chart,80,84
64,Donut Chart,80,52
65,Bar Chart,75,67
66,Donut Chart,30,39
67,Bar Chart,80,86
68,Stack Chart,20,41
69,Bar Chart,50,52
70,Stack Chart,10,9
71,Stack Chart,20,31
72,Bar Chart,33,31
73,Stack Chart,33,42
74,Bar Chart,90,86
75,Stack Chart,20,30
76,Stack Chart,99,96
77,Stack Chart,20,35
78,Bar Chart,80,87
79,Bar Chart,45,45
80,Bar Chart,20,9
