trialNum,Vis Type,Reported Percent,True Percent,Error
11,Donut Chart,55,42,3.714245518
12,Donut Chart,89,89,0
13,Donut Chart,70,62,3.022367813
14,Donut Chart,15,9,2.614709844
15,Stack Chart,20,26,2.614709844
16,Donut Chart,40,42,1.087462841
17,Bar Chart,98,96,1.087462841
18,Bar Chart,20,21,0.169925001
19,Donut Chart,80,70,3.339850003
20,Bar Chart,1,1,0
21,Stack Chart,90,89,0.169925001
22,Pie Chart,90,83,2.832890014
23,Pie Chart,10,8,1.087462841
24,Pie Chart,18,10,3.022367813
25,Pie Chart,90,92,1.087462841
26,Pie Chart,20,23,1.64385619
27,Stack Chart,15,10,2.357552005
28,Stack Chart,60,83,4.531381461
29,Bar Chart,66,80,3.820178962
30,Donut Chart,70,75,2.357552005
31,Pie Chart,80,56,4.592457037
32,Stack Chart,18,18,0
33,Stack Chart,20,50,4.912889336
34,Pie Chart,16,11,2.357552005
35,Bar Chart,45,48,1.64385619
36,Pie Chart,99,90,3.189824559
37,Pie Chart,90,91,0.169925001
38,Pie Chart,10,10,0
39,Donut Chart,77,55,4.46760555
40,Pie Chart,20,25,2.357552005
41,Donut Chart,39,41,1.087462841
42,Bar Chart,80,85,2.357552005
43,Donut Chart,8,2,2.614709844
44,Stack Chart,20,16,2.044394119
45,Pie Chart,80,58,4.46760555
46,Stack Chart,20,16,2.044394119
47,Donut Chart,78,69,3.189824559
48,Stack Chart,70,66,2.044394119
49,Pie Chart,61,50,3.475733431
50,Pie Chart,80,63,4.098032083
51,Donut Chart,60,65,2.357552005
52,Pie Chart,20,23,1.64385619
53,Stack Chart,80,70,3.339850003
54,Bar Chart,30,30,0
55,Pie Chart,45,43,1.087462841
56,Bar Chart,50,50,0
57,Donut Chart,90,93,1.64385619
58,Bar Chart,10,7,1.64385619
59,Bar Chart,50,59,3.189824559
60,Pie Chart,80,83,1.64385619
61,Bar Chart,20,19,0.169925001
62,Donut Chart,30,69,5.290018847
63,Pie Chart,80,84,2.044394119
64,Donut Chart,80,52,4.813781191
65,Bar Chart,75,67,3.022367813
66,Donut Chart,30,39,3.189824559
67,Bar Chart,80,86,2.614709844
68,Stack Chart,20,41,4.400879436
69,Bar Chart,50,52,1.087462841
70,Stack Chart,10,9,0.169925001
71,Stack Chart,20,31,3.475733431
72,Bar Chart,33,31,1.087462841
73,Stack Chart,33,42,3.189824559
74,Bar Chart,90,86,2.044394119
75,Stack Chart,20,30,3.339850003
76,Stack Chart,99,96,1.64385619
77,Stack Chart,20,35,3.918863237
78,Bar Chart,80,87,2.832890014
79,Bar Chart,45,45,0
80,Bar Chart,20,9,3.475733431
1,Donut Chart,90,68,4.46760555
2,Pie Chart,80,50,4.912889336
3,Stack Chart,55,58,1.64385619
4,Stack Chart,33,41,3.022367813
5,Pie Chart,20,23,1.64385619
6,Pie Chart,50,41,3.189824559
7,Pie Chart,80,56,4.592457037
8,Pie Chart,30,35,2.357552005
9,Bar Chart,45,46,0.169925001
10,Donut Chart,99,71,4.813781191
11,Pie Chart,90,74,4.011227255
12,Bar Chart,40,44,2.044394119
13,Donut Chart,45,63,4.17990909
14,Donut Chart,99,96,1.64385619
15,Bar Chart,90,84,2.614709844
16,Stack Chart,39,44,2.357552005
17,Pie Chart,5,5,0
18,Donut Chart,90,84,2.614709844
19,Donut Chart,80,75,2.357552005
20,Bar Chart,80,80,0
21,Bar Chart,33,32,0.169925001
22,Stack Chart,33,35,1.087462841
23,Stack Chart,80,84,2.044394119
24,Bar Chart,33,32,0.169925001
25,Pie Chart,10,8,1.087462841
26,Donut Chart,33,44,3.475733431
27,Stack Chart,33,45,3.599912842
28,Pie Chart,90,89,0.169925001
29,Stack Chart,45,60,3.918863237
30,Stack Chart,55,63,3.022367813
31,Donut Chart,20,20,0
32,Pie Chart,90,96,2.614709844
33,Bar Chart,78,73,2.357552005
34,Bar Chart,20,17,1.64385619
35,Pie Chart,10,6,2.044394119
36,Stack Chart,45,51,2.614709844
37,Pie Chart,90,89,0.169925001
38,Donut Chart,90,96,2.614709844
39,Bar Chart,60,61,0.169925001
40,Donut Chart,90,88,1.087462841
41,Stack Chart,79,67,3.599912842
42,Pie Chart,20,14,2.614709844
43,Pie Chart,90,79,3.475733431
44,Bar Chart,40,38,1.087462841
45,Pie Chart,10,24,3.820178962
46,Donut Chart,30,45,3.918863237
47,Pie Chart,33,36,1.64385619
48,Bar Chart,55,55,0
49,Stack Chart,70,57,3.714245518
50,Donut Chart,29,27,1.087462841
51,Donut Chart,59,55,2.044394119
52,Bar Chart,7,3,2.044394119
