trialNum,Vis Type,Reported Percent,True Percent
1,Donut Chart,90,68
2,Pie Chart,80,50
3,Stack Chart,55,58
4,Stack Chart,33,41
5,Pie Chart,20,23
6,Pie Chart,50,41
7,Pie Chart,80,56
8,Pie Chart,30,35
9,Bar Chart,45,46
10,Donut Chart,99,71
11,Pie Chart,90,74
12,Bar Chart,40,44
13,Donut Chart,45,63
14,Donut Chart,99,96
15,Bar Chart,90,84
16,Stack Chart,39,44
17,Pie Chart,5,5
18,Donut Chart,90,84
19,Donut Chart,80,75
20,Bar Chart,80,80
21,Bar Chart,33,32
22,Stack Chart,33,35
23,Stack Chart,80,84
24,Bar Chart,33,32
25,Pie Chart,10,8
26,Donut Chart,33,44
27,Stack Chart,33,45
28,Pie Chart,90,89
29,Stack Chart,45,60
30,Stack Chart,55,63
31,Donut Chart,20,20
32,Pie Chart,90,96
33,Bar Chart,78,73
34,Bar Chart,20,17
35,Pie Chart,10,6
36,Stack Chart,45,51
37,Pie Chart,90,89
38,Donut Chart,90,96
39,Bar Chart,60,61
40,Donut Chart,90,88
41,Stack Chart,79,67
42,Pie Chart,20,14
43,Pie Chart,90,79
44,Bar Chart,40,38
45,Pie Chart,10,24
46,Donut Chart,30,45
47,Pie Chart,33,36
48,Bar Chart,55,55
49,Stack Chart,70,57
50,Donut Chart,29,27
51,Donut Chart,59,55
52,Bar Chart,7,3
53,Donut Chart,80,70
54,Stack Chart,33,47
55,Donut Chart,50,46
56,Pie Chart,33,28
57,Stack Chart,50,67
58,Bar Chart,9,5
59,Donut Chart,90,62
60,Pie Chart,50,50
61,Stack Chart,20,19
62,Pie Chart,90,79
63,Donut Chart,33,50
64,Pie Chart,20,17
65,Stack Chart,50,51
66,Stack Chart,45,56
67,Bar Chart,90,90
68,Bar Chart,45,39
69,Donut Chart,20,12
70,Bar Chart,43,42
71,Stack Chart,10,16
72,Bar Chart,56,60
73,Donut Chart,34,46
74,Bar Chart,15,12
75,Donut Chart,90,96
76,Stack Chart,9,6
77,Stack Chart,90,91
78,Stack Chart,50,56
79,Bar Chart,50,51
80,Bar Chart,90,93
